iter	Passed	Remaining
401	7039	10472
402	7051	10445
403	7062	10418
404	7073	10392
405	7084	10365
406	7095	10338
407	7107	10312
408	7118	10285
409	7129	10259
410	7140	10233
411	7159	10217
412	7170	10191
413	7181	10164
414	7193	10140
415	7206	10117
416	7218	10091
417	7229	10065
418	7241	10040
419	7252	10015
420	7263	9989
421	7275	9964
422	7286	9939
423	7297	9913
424	7317	9900
425	7328	9874
426	7339	9849
427	7350	9823
428	7362	9799
429	7373	9774
430	7384	9748
431	7395	9723
432	7405	9697
433	7417	9673
434	7427	9647
435	7438	9622
436	7450	9598
437	7461	9573
438	7480	9559
439	7491	9534
440	7502	9510
441	7513	9485
442	7525	9461
443	7536	9437
444	7547	9413
445	7559	9389
446	7570	9365
447	7581	9341
448	7591	9316
449	7603	9293
450	7615	9269
451	7626	9245
452	7643	9229
453	7655	9207
454	7668	9185
455	7680	9162
456	7691	9139
457	7703	9116
458	7716	9094
459	7727	9071
460	7739	9048
461	7751	9026
462	7763	9004
463	7780	8988
464	7806	8981
465	7819	8960
466	7831	8938
467	7842	8915
468	7854	8892
469	7867	8871
470	7878	8848
471	7889	8825
472	7900	8802
473	7912	8780
474	7923	8757
475	7934	8734
476	7945	8711
477	7962	8695
478	7974	8674
479	7986	8651
480	7997	8629
481	8008	8606
482	8019	8584
483	8031	8562
484	8042	8540
485	8054	8519
486	8070	8500
487	8082	8479
488	8093	8457
489	8105	8435
490	8116	8413
491	8127	8391
492	8144	8376
493	8159	8358
494	8182	8347
495	8200	8333
496	8216	8315
497	8236	8302
498	8260	8293
499	8281	8281
500	8307	8274
501	8324	8257
502	8337	8237
503	8353	8220
504	8374	8209
505	8387	8188
506	8403	8171
507	8418	8153
508	8433	8135
509	8449	8118
510	8477	8112
511	8494	8096
512	8511	8080
513	8527	8063
514	8544	8047
515	8560	8030
516	8577	8013
517	8593	7996
518	8611	7980
519	8636	7971
520	8656	7958
521	8667	7936
522	8682	7918
523	8696	7899
524	8710	7880
525	8723	7861
526	8737	7841
527	8748	7820
528	8760	7800
529	8774	7780
530	8794	7767
531	8807	7747
532	8818	7726
533	8829	7705
534	8842	7685
535	8855	7665
536	8865	7644
537	8878	7624
538	8890	7604
539	8903	7584
540	8914	7563
541	8927	7543
542	8940	7524
543	8953	7505
544	8973	7491
545	8986	7472
546	8997	7451
547	9010	7432
548	9023	7412
549	9036	7393
550	9054	7378
551	9069	7360
552	9086	7344
553	9102	7328
554	9117	7310
555	9134	7294
556	9155	7281
557	9174	7267
558	9203	7260
559	9217	7242
560	9228	7221
561	9240	7201
562	9251	7181
563	9263	7160
564	9274	7140
565	9293	7125
566	9304	7105
567	9315	7084
568	9325	7064
569	9337	7044
570	9348	7023
571	9359	7003
572	9370	6983
573	9382	6962
574	9393	6942
575	9404	6923
576	9416	6902
577	9427	6882
578	9438	6862
579	9453	6845
580	9466	6827
581	9478	6807
582	9489	6787
583	9500	6767
584	9511	6747
585	9522	6727
586	9533	6707
587	9544	6687
588	9556	6668
589	9567	6648
590	9578	6628
591	9589	6609
592	9605	6592
593	9618	6574
594	9629	6554
595	9640	6535
596	9652	6515
597	9663	6496
598	9674	6476
599	9686	6457
600	9697	6437
601	9708	6418
602	9719	6399
603	9735	6383
604	9746	6363
605	9757	6343
606	9769	6325
607	9780	6305
608	9791	6286
609	9802	6267
610	9814	6248
611	9826	6229
612	9837	6210
613	9848	6191
614	9859	6172
615	9878	6157
616	9889	6138
617	9900	6119
618	9914	6102
619	9926	6084
620	9937	6064
621	9949	6046
622	9963	6029
623	9976	6011
624	9988	5992
625	9999	5974
626	10010	5955
627	10025	5938
628	10040	5921
629	10051	5903
630	10062	5884
631	10073	5865
632	10084	5846
633	10096	5828
634	10107	5809
635	10118	5791
636	10129	5772
637	10140	5753
638	10151	5735
639	10162	5716
640	10173	5697
641	10192	5683
642	10204	5665
643	10214	5646
644	10225	5628
645	10237	5609
646	10248	5591
647	10259	5573
648	10270	5554
649	10282	5536
650	10292	5518
651	10303	5499
652	10314	5481
653	10326	5463
654	10337	5445
655	10349	5427
656	10367	5412
657	10379	5395
658	10391	5377
659	10403	5359
660	10415	5341
661	10426	5323
662	10437	5305
663	10448	5287
664	10459	5269
665	10471	5251
666	10482	5233
667	10493	5215
668	10504	5197
669	10520	5181
670	10531	5163
671	10542	5145
672	10553	5127
673	10564	5109
674	10575	5091
675	10587	5074
676	10599	5057
677	10610	5039
678	10621	5021
679	10640	5007
680	10653	4990
681	10664	4972
682	10675	4954
683	10687	4937
684	10698	4919
685	10709	4902
686	10720	4884
687	10731	4866
688	10742	4848
689	10753	4831
690	10767	4815
691	10782	4799
692	10794	4781
693	10805	4764
694	10817	4747
695	10827	4729
696	10839	4711
697	10849	4694
698	10861	4677
699	10872	4659
700	10883	4642
701	10894	4624
702	10944	4623
703	10958	4607
704	10969	4589
705	10980	4572
706	10991	4555
707	11005	4539
708	11016	4521
709	11027	4504
710	11039	4487
711	11049	4469
712	11066	4454
713	11077	4437
714	11088	4419
715	11099	4402
716	11110	4385
717	11121	4368
718	11132	4350
719	11144	4333
720	11155	4316
721	11166	4299
722	11183	4284
723	11194	4267
724	11204	4250
725	11216	4233
726	11226	4215
727	11237	4198
728	11248	4181
729	11259	4164
730	11270	4147
731	11281	4130
732	11297	4115
733	11308	4098
734	11320	4081
735	11331	4064
736	11342	4047
737	11354	4030
738	11365	4013
739	11375	3996
740	11387	3980
741	11398	3963
742	11410	3946
743	11421	3929
744	11439	3915
745	11451	3899
746	11462	3882
747	11473	3865
748	11485	3848
749	11496	3832
750	11507	3815
751	11518	3798
752	11529	3781
753	11540	3765
754	11551	3748
755	11585	3739
756	11605	3725
757	11617	3709
758	11628	3692
759	11639	3675
760	11651	3659
761	11662	3642
762	11674	3626
763	11685	3609
764	11697	3593
765	11707	3576
766	11719	3560
767	11730	3543
768	11741	3527
769	11753	3510
770	11771	3496
771	11782	3479
772	11794	3463
773	11805	3447
774	11816	3430
775	11827	3414
776	11838	3397
777	11849	3381
778	11860	3364
779	11871	3348
780	11883	3332
781	11894	3315
782	11905	3299
783	11916	3283
784	11927	3266
785	11945	3252
786	11956	3236
787	11967	3219
788	11978	3203
789	11989	3187
790	12000	3170
791	12012	3154
792	12023	3138
793	12034	3122
794	12044	3105
795	12055	3089
796	12067	3073
797	12078	3057
798	12089	3041
799	12108	3027
800	12119	3010
801	12130	2994
802	12141	2978
803	12153	2962
804	12164	2946
805	12175	2930
806	12186	2914
807	12197	2898
808	12208	2882
809	12220	2866
810	12231	2850
811	12243	2834
812	12261	2820
813	12272	2804
814	12283	2788
815	12294	2772
816	12305	2756
817	12317	2740
818	12328	2724
819	12339	2708
820	12350	2692
821	12361	2676
822	12388	2664
823	12399	2648
824	12416	2633
825	12428	2618
826	12439	2602
827	12450	2586
828	12462	2570
829	12473	2554
830	12485	2539
831	12496	2523
832	12507	2507
833	12518	2491
834	12535	2477
835	12546	2461
836	12557	2445
837	12569	2429
838	12580	2414
839	12592	2398
840	12603	2382
841	12614	2367
842	12625	2351
843	12637	2335
844	12648	2320
845	12659	2304
846	12677	2290
847	12688	2274
848	12699	2258
849	12710	2243
850	12722	2227
851	12733	2211
852	12744	2196
853	12755	2180
854	12766	2165
855	12776	2149
856	12788	2133
857	12799	2118
858	12810	2102
859	12822	2087
860	12840	2072
861	12851	2057
862	12861	2041
863	12873	2026
864	12884	2010
865	12895	1995
866	12906	1979
867	12918	1964
868	12929	1949
869	12940	1933
870	12952	1918
871	12963	1902
872	12974	1887
873	12991	1872
874	13003	1857
875	13014	1842
876	13026	1826
877	13039	1811
878	13052	1796
879	13063	1781
880	13074	1765
881	13085	1750
882	13096	1735
883	13107	1719
884	13118	1704
885	13137	1690
886	13148	1675
887	13159	1659
888	13172	1644
889	13183	1629
890	13195	1614
891	13206	1599
892	13217	1583
893	13228	1568
894	13239	1553
895	13250	1537
896	13261	1522
897	13272	1507
898	13288	1492
899	13300	1477
900	13311	1462
901	13323	1447
902	13335	1432
903	13346	1417
904	13356	1402
905	13368	1386
906	13379	1371
907	13390	1356
908	13407	1342
909	13417	1327
910	13429	1311
911	13440	1296
912	13451	1281
913	13463	1266
914	13474	1251
915	13485	1236
916	13497	1221
917	13508	1206
918	13524	1192
919	13536	1177
920	13547	1162
921	13558	1147
922	13570	1132
923	13581	1117
924	13592	1102
925	13603	1087
926	13615	1072
927	13626	1057
928	13637	1042
929	13649	1027
930	13668	1012
931	13678	998
932	13689	983
933	13700	968
934	13711	953
935	13722	938
936	13733	923
937	13744	908
938	13755	893
939	13766	878
940	13778	863
941	13789	849
942	13801	834
943	13812	819
944	13830	804
945	13841	790
946	13852	775
947	13863	760
948	13875	745
949	13886	730
950	13897	716
951	13908	701
952	13919	686
953	13930	671
954	13942	656
955	13953	642
956	13964	627
957	13975	612
958	13986	597
959	14005	583
960	14015	568
961	14027	554
962	14038	539
963	14050	524
964	14061	509
965	14072	495
966	14082	480
967	14094	465
968	14105	451
969	14117	436
970	14128	421
971	14142	407
972	14157	392
973	14167	378
974	14178	363
975	14189	348
976	14201	334
977	14213	319
978	14225	305
979	14236	290
980	14247	275
981	14259	261
982	14274	246
983	14287	232
984	14298	217
985	14309	203
986	14320	188
987	14331	174
988	14342	159
989	14354	144
990	14365	130
991	14376	115
992	14387	101
993	14407	86
994	14418	72
995	14429	57
996	14441	43
997	14452	28
998	14463	14
999	14474	0
