iter	RMSE
0	161.4274393
1	153.9553992
2	146.6752365
3	139.6713838
4	133.4946089
5	127.5121389
6	121.6860774
7	116.1754998
8	110.9168655
9	106.094751
10	101.4911057
11	97.15768258
12	92.93827612
13	89.06380574
14	85.2896937
15	81.75211035
16	78.29916929
17	75.13835259
18	72.00569874
19	69.26468506
20	66.66676589
21	64.06747978
22	61.70927792
23	59.57278502
24	57.34979209
25	55.14473047
26	52.98563458
27	51.04626986
28	49.33614345
29	47.64007693
30	46.1583289
31	44.54230623
32	43.23462305
33	41.92779157
34	40.7343102
35	39.63543705
36	38.54714782
37	37.43484787
38	36.47882773
39	35.56259757
40	34.59368107
41	33.78362242
42	32.97871262
43	32.2500703
44	31.68703769
45	31.00604912
46	30.44419981
47	29.89964935
48	29.28625334
49	28.71554926
50	28.27074108
51	27.82869076
52	27.37244165
53	26.96860699
54	26.60267684
55	26.19396515
56	25.88265395
57	25.49775841
58	25.14330063
59	24.83856972
60	24.57289564
61	24.32141508
62	24.06296877
63	23.85313342
64	23.64789046
65	23.43274591
66	23.15656379
67	22.90413772
68	22.71652881
69	22.54884476
70	22.38301213
71	22.24223637
72	22.09369543
73	21.92276239
74	21.72798945
75	21.55125045
76	21.42194597
77	21.27608985
78	21.15421748
79	21.0399998
80	20.91221031
81	20.77200793
82	20.62942006
83	20.53199069
84	20.44121512
85	20.29892349
86	20.15272796
87	20.07582706
88	19.97155296
89	19.82885053
90	19.71014053
91	19.62197082
92	19.57318925
93	19.49987577
94	19.43383853
95	19.34257411
96	19.27898614
97	19.17982227
98	19.06969281
99	18.93815966
100	18.81002773
101	18.75401875
102	18.70480526
103	18.63979153
104	18.59164124
105	18.52154982
106	18.44576674
107	18.40092054
108	18.27978411
109	18.2196544
110	18.17252239
111	18.04315912
112	17.96622465
113	17.92584028
114	17.89721846
115	17.84640825
116	17.77153732
117	17.67119926
118	17.61908169
119	17.56482208
120	17.51873912
121	17.48957599
122	17.39952569
123	17.34247639
124	17.27269306
125	17.17768172
126	17.15525134
127	17.12007538
128	17.09260861
129	17.02273859
130	16.96724332
131	16.90091802
132	16.85327983
133	16.76634121
134	16.69129824
135	16.6121532
136	16.52726958
137	16.48906069
138	16.44038162
139	16.39710516
140	16.33062421
141	16.28533797
142	16.25207873
143	16.21152187
144	16.18459231
145	16.13327327
146	16.0816366
147	16.02099659
148	15.9684399
149	15.90599201
150	15.85706498
151	15.79632974
152	15.71861601
153	15.66323411
154	15.6448609
155	15.59454532
156	15.56622157
157	15.5448669
158	15.51354845
159	15.44813642
160	15.38801181
161	15.34141096
162	15.29011706
163	15.21492549
164	15.1676854
165	15.12997754
166	15.10528961
167	15.06166323
168	15.0376096
169	14.99417655
170	14.91771962
171	14.89146255
172	14.83644095
173	14.78445216
174	14.74992303
175	14.69669098
176	14.64660056
177	14.59651546
178	14.54868627
179	14.51035984
180	14.4776571
181	14.43692858
182	14.39127584
183	14.34914364
184	14.29551222
185	14.24622996
186	14.20281891
187	14.1607338
188	14.10722028
189	14.05207786
190	14.0169919
191	13.97862856
192	13.9611527
193	13.91539293
194	13.87525392
195	13.81718587
196	13.77791736
197	13.72795424
198	13.67247986
199	13.63736278
200	13.61113913
201	13.57684987
202	13.54484395
203	13.49457649
204	13.46695339
205	13.44005382
206	13.42415098
207	13.38055201
208	13.32201888
209	13.27629584
210	13.23444654
211	13.20571655
212	13.17098005
213	13.12895554
214	13.08682488
215	13.03913706
216	13.03650813
217	13.03396
218	13.00539135
219	12.96188146
220	12.93676538
221	12.90610315
222	12.8725373
223	12.83088031
224	12.82824239
225	12.79548883
226	12.79311108
227	12.79039424
228	12.75548815
229	12.72299644
230	12.72055378
231	12.68268231
232	12.64582071
233	12.61230108
234	12.58269874
235	12.54956073
236	12.54722232
237	12.51882131
238	12.497902
239	12.47192608
240	12.44746009
241	12.41385413
242	12.37861602
243	12.3492559
244	12.32579209
245	12.29627307
246	12.27129109
247	12.24629398
248	12.23423192
249	12.21880892
250	12.21643005
251	12.18774938
252	12.15145727
253	12.1180343
254	12.10094172
255	12.06993464
256	12.03924696
257	12.03717821
258	12.00877632
259	11.98852459
260	11.96172801
261	11.93966178
262	11.91499713
263	11.88853335
264	11.86518769
265	11.84412392
266	11.81431204
267	11.81235192
268	11.81023011
269	11.7926676
270	11.76898889
271	11.76715988
272	11.75486492
273	11.72926412
274	11.71120437
275	11.68549297
276	11.66015959
277	11.64214439
278	11.6219413
279	11.59218032
280	11.57578445
281	11.54910908
282	11.54751819
283	11.52746299
284	11.49939069
285	11.49800599
286	11.48067584
287	11.45882613
288	11.42443927
289	11.39638113
290	11.37552756
291	11.34750502
292	11.3221194
293	11.30876508
294	11.28874118
295	11.27286707
296	11.25405276
297	11.23157968
298	11.20016604
299	11.17362121
300	11.15118393
301	11.12964138
302	11.10191268
303	11.08600784
304	11.07253308
305	11.05220484
306	11.0272025
307	11.02540443
308	11.00546259
309	10.98696124
310	10.964309
311	10.96302085
312	10.94369632
313	10.93093144
314	10.91070619
315	10.9090229
316	10.88808454
317	10.8701605
318	10.85274268
319	10.83620603
320	10.81604758
321	10.79321112
322	10.77580101
323	10.75722226
324	10.75561377
325	10.73365357
326	10.72608757
327	10.72498367
328	10.71031779
329	10.70924029
330	10.68877869
331	10.67122523
332	10.64948033
333	10.6230048
334	10.62169275
335	10.60335511
336	10.59187056
337	10.57900427
338	10.5626386
339	10.5493979
340	10.5265283
341	10.50942846
342	10.48888231
343	10.48787911
344	10.46727467
345	10.45768254
346	10.45670437
347	10.44124504
348	10.42588115
349	10.42492563
350	10.41260634
351	10.4113801
352	10.39590739
353	10.38124663
354	10.37138249
355	10.35119944
356	10.3319296
357	10.30481546
358	10.29199523
359	10.29109372
360	10.27220586
361	10.25560422
362	10.23871858
363	10.2273815
364	10.20126221
365	10.18113473
366	10.16895143
367	10.15043951
368	10.13774563
369	10.12321193
370	10.11471756
371	10.09722933
372	10.07280002
373	10.05946527
374	10.05844713
375	10.0420359
376	10.02947096
377	10.02164993
378	10.00789391
379	9.991379886
380	9.990444657
381	9.977364843
382	9.976565575
383	9.954276146
384	9.934217612
385	9.921220365
